neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,host_is_superhost,accommodates,bedrooms,beds,number_of_reviews,price
2.0,18.0,2.0,6.0,-0.47011540719590833,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,-0.15155419050475297,1.4471580313422192
3.0,30.0,2.0,4.0,-0.47011540719590833,-1.2916939518177595,0.38409849662360834,-0.8561038605619438,-0.2843659554170777,1.4771212547196624
0.0,11.0,0.0,2.0,-0.47011540719590833,0.35222614833351445,-0.7724821737537657,-0.2076237920440117,-0.36888253308855706,2.155336037465062
0.0,30.0,2.0,4.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,1.6232939405963138,1.724275869600789
0.0,30.0,2.0,5.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.1274065968843303,1.505149978319906
0.0,30.0,2.0,3.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.4413253139498251,1.5563025007672873
1.0,11.0,0.0,12.0,-0.47011540719590833,2.54411961520188,2.6972598373783567,2.386296482027716,0.12614313613010783,2.5352941200427703
9.0,15.0,0.0,2.0,-0.47011540719590833,-0.7437205851006682,2.6972598373783567,1.7378164135097842,-0.5379156884315158,2.100370545117563
0.0,11.0,0.0,2.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.2076237920440117,-0.5379156884315158,1.7160033436347992
2.0,30.0,2.0,6.0,-0.47011540719590833,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,-0.223996971366021,1.806179973983887
1.0,11.0,0.0,2.0,2.1271372618155353,0.35222614833351445,0.38409849662360834,-0.2076237920440117,1.0558254905163809,2.3909351071033793
9.0,11.0,0.0,8.0,-0.47011540719590833,1.9961462484847885,2.6972598373783567,3.0347765505456485,-0.5379156884315158,2.041392685158225
2.0,25.0,2.0,5.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.2076237920440117,-0.5379156884315158,1.8129133566428555
7.0,11.0,0.0,8.0,2.1271372618155353,1.9961462484847885,2.6972598373783567,1.7378164135097842,-0.5379156884315158,2.255272505103306
8.0,30.0,2.0,2.0,-0.47011540719590833,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,-0.3205873458477117,1.4313637641589874
