host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
1.0,Eixample,Private room in rental unit,Private room,1,2 shared baths,1.0,1.0,2,107
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,2,56
0.0,Ciutat Vella,Room in hotel,Private room,2,1 shared bath,1.0,1.0,18,74
0.0,Ciutat Vella,Private room in casa particular,Private room,2,1 shared bath,1.0,1.0,26,79
1.0,Gràcia,Private room in rental unit,Private room,1,2 baths,1.0,1.0,26,23
1.0,Ciutat Vella,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,8,211
0.0,Nou Barris,Private room in rental unit,Private room,2,1 shared bath,3.0,4.0,37,50
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,11,35
1.0,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,30,40
0.0,Eixample,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,16,81
0.0,Gràcia,Entire rental unit,Entire home/apt,5,2 baths,2.0,4.0,1,188
0.0,Sants-Montjuïc,Entire loft,Entire home/apt,2,1 bath,1.0,2.0,0,60
0.0,Ciutat Vella,Entire condo,Entire home/apt,4,1 bath,1.0,3.0,8,102
0.0,Nou Barris,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,35,20
1.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,124,96
0.0,Sant Andreu,Private room in rental unit,Private room,1,1 shared bath,3.0,1.0,10,20
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,3.0,37,91
0.0,Eixample,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,4,22
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,23,64
0.0,Ciutat Vella,Room in hotel,Private room,1,1 private bath,1.0,1.0,0,84
1.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,93,156
0.0,Ciutat Vella,Entire loft,Entire home/apt,3,1 bath,2.0,2.0,27,44
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,0,48
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,7,85
0.0,Eixample,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,134,35
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,5,60
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,9,106
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,1,70
0.0,Ciutat Vella,Private room in condo,Private room,1,1 shared bath,1.0,1.0,0,100
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,1 bath,3.0,4.0,52,200
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,27,71
0.0,Les Corts,Entire rental unit,Entire home/apt,8,2 baths,4.0,7.0,5,189
0.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,5,36
0.0,Sant Martí,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,18,169
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,45,62
0.0,Ciutat Vella,Private room in rental unit,Private room,2,3 shared baths,1.0,2.0,66,20
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,32,129
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,207,165
0.0,Sant Martí,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,60,30
0.0,Gràcia,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,4.0,137,76
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,5,45
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,1,154
0.0,Sant Martí,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,5,142
1.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,60,20
0.0,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,53,28
0.0,Ciutat Vella,Entire loft,Entire home/apt,3,1 bath,1.0,4.0,0,49
0.0,Ciutat Vella,Private room in loft,Private room,2,1.5 shared baths,1.0,1.0,25,43
0.0,Gràcia,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,30,54
0.0,Eixample,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,0,55
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,2.0,3.0,9,60
0.0,Eixample,Entire rental unit,Entire home/apt,5,2 baths,3.0,3.0,21,123
0.0,Ciutat Vella,Private room in rental unit,Private room,1,1 bath,1.0,1.0,1,17
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,210,95
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,26,98
0.0,Gràcia,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,0,50
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,6,65
1.0,Gràcia,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,3.0,2,369
1.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,131,34
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,4,155
0.0,Gràcia,Entire condo,Entire home/apt,7,2 baths,2.0,5.0,98,150
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,7,2 baths,2.0,3.0,0,300
0.0,Eixample,Entire rental unit,Entire home/apt,8,2 baths,4.0,6.0,123,250
0.0,Horta-Guinardó,Entire rental unit,Entire home/apt,7,1 bath,3.0,5.0,8,240
0.0,Ciutat Vella,Private room in hostel,Private room,1,1 shared bath,1.0,1.0,125,47
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,2,25
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,5,2 baths,2.0,3.0,20,204
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,5,2 baths,3.0,3.0,140,149
1.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,1,150
0.0,Eixample,Room in hotel,Private room,2,1 private bath,1.0,1.0,41,81
1.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,180,38
0.0,Eixample,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,151,130
0.0,Eixample,Room in hostel,Hotel room,1,1 shared bath,1.0,8.0,19,17
0.0,Les Corts,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,0,61
0.0,Eixample,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,23,35
0.0,Eixample,Room in boutique hotel,Hotel room,2,1 private bath,1.0,1.0,2,205
0.0,Sant Andreu,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,0,40
0.0,Eixample,Room in hotel,Private room,4,1 private bath,1.0,1.0,17,111
0.0,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,1,50
