,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
4121,133534312,f,"Barcelona, CT, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,3,5.0,$49.00
8495,567180,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,5,4.6,$100.00
1066,12854836,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,419,4.28,$88.00
4749,2439400,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,8,,1.5 baths,2.0,5.0,33,4.47,$120.00
13631,76881375,f,,Entire serviced apartment,Entire home/apt,2,,1 bath,1.0,2.0,16,4.38,$113.00
8003,10380563,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,1.0,2.0,37,4.19,$112.00
55,1014050,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,120,4.87,$150.00
13194,194229020,f,"Barcelona, Catalonia, Spain",Room in boutique hotel,Private room,4,,1.5 baths,1.0,3.0,2,5.0,$166.00
14234,12980367,t,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,5,,2.5 baths,3.0,4.0,1,5.0,$125.00
8283,297937853,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,1 shared bath,1.0,1.0,0,,$50.00
12383,10704,f,,Private room in hostel,Private room,4,,1 shared bath,1.0,4.0,12,5.0,$113.00
12556,9171437,f,"Barcelona, Catalunya, Spain",Private room in hostel,Private room,3,,5 shared baths,1.0,1.0,13,4.92,$72.00
7858,270933674,f,,Room in boutique hotel,Private room,2,,1 bath,1.0,1.0,0,,"$9,026.00"
1254,17094929,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,251,4.83,$64.00
7668,36438736,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,3 baths,3.0,5.0,11,4.4,$199.00
12356,436285976,f,,Entire condo,Entire home/apt,5,,1 bath,2.0,4.0,24,4.58,$57.00
6561,3556337,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,3 baths,4.0,5.0,64,4.98,$164.00
9444,396363,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,4.0,0,,$91.00
15687,390203594,f,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,0,,$149.00
6503,108441327,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,2.0,6.0,74,4.36,$89.00
788,7906740,t,"Barcelona, Catalonia, Spain",Entire loft,Entire home/apt,1,,1 bath,,2.0,450,4.77,$54.00
2968,8488654,t,,Private room in rental unit,Private room,2,,2 shared baths,1.0,1.0,217,4.89,$40.00
10714,388714704,f,"Barcelona, Catalunya, Spain",Room in boutique hotel,Private room,2,,1 shared bath,,1.0,0,,$204.00
10225,148946579,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,2,3.5,$50.00
7866,243301834,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,138,4.93,$72.00
8375,292148286,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,89,4.42,$37.00
5995,5614931,f,,Entire serviced apartment,Entire home/apt,2,,1 bath,,1.0,56,4.61,$102.00
15392,485055666,f,,Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,3,5.0,$73.00
5078,112442355,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,2 baths,2.0,1.0,135,4.86,$53.00
13768,464136265,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,32,4.75,$44.00
7327,250093014,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,2 baths,4.0,6.0,44,4.45,$629.00
11242,51939140,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,,1.0,1,4.0,$50.00
1577,2320210,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,39,4.74,$185.00
12935,397090058,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,1,2.0,$88.00
3340,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,59,4.14,$227.00
5044,32272459,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,2.0,0,,$25.00
2402,24552514,f,"Barcelona, Catalunya, Spain",Private room in home,Private room,2,,1 bath,1.0,1.0,34,4.84,$35.00
1308,3534967,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,1,,1.5 shared baths,1.0,1.0,55,4.76,$28.00
2061,9857118,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,2 shared baths,1.0,1.0,76,4.51,$26.00
517,1156593,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,390,4.48,$33.00
11941,414089267,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,15,4.6,$129.00
7072,228920555,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,16,4.19,$22.00
1966,2729035,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,94,4.92,$49.00
9857,125955617,f,,Private room in rental unit,Private room,4,,1 private bath,1.0,4.0,0,,$35.00
10697,397201984,t,"Barcelona, Catalunya, Spain",Room in boutique hotel,Private room,1,,1 private bath,1.0,,28,4.82,$73.00
12996,325295444,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,37,4.49,$66.00
8330,3348832,t,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,95,4.81,$93.00
84,497450,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,67,4.74,"$4,044.00"
3348,1310304,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,3,4.33,$45.00
5347,175453328,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,,,2,5.0,$184.00
12583,365078872,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,19,4.32,$91.00
5437,28300778,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,3.0,4.0,232,4.96,$161.00
8285,304318776,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,4,,2 shared baths,1.0,2.0,76,4.72,$36.00
4407,140703056,f,,Private room in rental unit,Private room,3,,1 private bath,2.0,2.0,0,,$45.00
460,6569922,t,"Barcelona, Catalonia, Spain",Entire condo,Entire home/apt,4,,1 bath,1.0,2.0,394,4.89,$73.00
15730,224618386,f,,Entire rental unit,Entire home/apt,6,,2.5 baths,4.0,5.0,0,,$188.00
3999,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,4,,2 baths,3.0,4.0,95,4.39,$267.00
5591,54820821,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,110,4.43,$80.00
12670,441606325,f,"BARCELONA, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,25,4.32,$110.00
3220,94751180,f,,Room in bed and breakfast,Hotel room,4,,5 baths,1.0,4.0,33,4.42,$21.00
11889,428355504,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,4,,1.5 baths,1.0,,1,4.0,$191.00
2317,2320210,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,20,4.3,$136.00
8025,7587496,t,,Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,9,5.0,$20.00
7459,7349396,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,114,4.68,$78.00
11764,339735387,f,,Private room in serviced apartment,Private room,2,,1.5 shared baths,1.0,1.0,0,,$10.00
6960,16581062,f,,Private room in rental unit,Private room,2,,2 shared baths,1.0,1.0,115,4.89,$60.00
12508,247176629,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,4,5.0,$191.00
4795,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,8,,5 baths,4.0,5.0,61,4.21,$265.00
12519,291857598,t,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,2,5.0,$50.00
4090,2291129,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,181,4.79,$130.00
4837,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,10,,3 baths,5.0,6.0,44,4.45,$288.00
9788,250093014,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,5,4.4,$95.00
