host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
f,Nou Barris,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,3,$85.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,12,$38.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,,1.0,0,$41.00
f,Horta-Guinardó,Entire rental unit,Entire home/apt,7,2 baths,4.0,10.0,58,$271.00
f,Ciutat Vella,Entire condo,Entire home/apt,3,1 bath,2.0,2.0,3,$52.00
f,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,82,$22.00
f,Ciutat Vella,Private room in rental unit,Private room,3,1 shared bath,1.0,2.0,13,$39.00
f,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,1,$37.00
t,Ciutat Vella,Entire rental unit,Entire home/apt,6,1 bath,3.0,5.0,295,$114.00
f,Gràcia,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,0,$201.00
t,Eixample,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,31,$215.00
f,Eixample,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,4,$120.00
f,Gràcia,Entire rental unit,Entire home/apt,3,2 baths,2.0,2.0,1,$92.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,135,$90.00
t,Sants-Montjuïc,Entire condo,Entire home/apt,6,1 bath,3.0,4.0,15,$75.00
f,Nou Barris,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,3,$17.00
f,Sant Martí,Entire rental unit,Entire home/apt,16,4.5 baths,6.0,10.0,6,"$1,200.00"
f,Eixample,Entire serviced apartment,Entire home/apt,4,2 baths,2.0,3.0,206,$138.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,3,$59.00
f,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,139,$228.00
f,Sants-Montjuïc,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,3,$100.00
f,Gràcia,Private room in home,Private room,1,2 shared baths,,1.0,2,$45.00
t,Gràcia,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,515,$75.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,9,3 baths,5.0,8.0,9,$500.00
f,Eixample,Entire condo,Entire home/apt,3,1.5 baths,2.0,2.0,0,$199.00
f,Eixample,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,1,$17.00
t,Ciutat Vella,Entire loft,Entire home/apt,2,1 bath,,1.0,0,$75.00
f,Ciutat Vella,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,3.0,19,$226.00
t,Sarrià-Sant Gervasi,Shared room in villa,Shared room,1,1 shared bath,1.0,6.0,0,$20.00
f,Horta-Guinardó,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,2,$16.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,0,$112.00
f,Gràcia,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,17,$100.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,14,$36.00
t,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,71,$199.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,14,$113.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,6,3 baths,3.0,6.0,4,$160.00
f,Sant Andreu,Private room in rental unit,Private room,2,1 shared bath,,1.0,62,$35.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,5,1 bath,3.0,3.0,153,$95.00
f,Eixample,Room in hotel,Private room,2,1 private bath,1.0,1.0,0,"$9,200.00"
